task,n,streams,tile,time_ms
matmul,512,1,16,0.267936
matmul,512,1,32,0.266144
matmul,512,4,16,0.267008
matmul,512,4,32,0.267232
matmul,512,8,16,0.268
matmul,512,8,32,0.269408
matmul,512,16,16,0.272768
matmul,512,16,32,0.27248
matmul,768,1,16,0.822848
matmul,768,1,32,0.794624
matmul,768,4,16,0.814848
matmul,768,4,32,0.79632
matmul,768,8,16,0.82128
matmul,768,8,32,0.793792
matmul,768,16,16,0.816704
matmul,768,16,32,0.806624
matmul,1024,1,16,1.85974
matmul,1024,1,32,1.84333
matmul,1024,4,16,1.86182
matmul,1024,4,32,1.83843
matmul,1024,8,16,1.86211
matmul,1024,8,32,1.83885
matmul,1024,16,16,1.86512
matmul,1024,16,32,1.83786
matmul,1280,1,16,3.66157
matmul,1280,1,32,3.56701
matmul,1280,4,16,3.65754
matmul,1280,4,32,3.56758
matmul,1280,8,16,3.65213
matmul,1280,8,32,3.56758
matmul,1280,16,16,3.66192
matmul,1280,16,32,3.57949
matmul,1536,1,16,6.31834
matmul,1536,1,32,6.14387
matmul,1536,4,16,6.32829
matmul,1536,4,32,6.15526
matmul,1536,8,16,6.31808
matmul,1536,8,32,6.16032
matmul,1536,16,16,6.32864
matmul,1536,16,32,6.16653
matmul,1792,1,16,10.0092
matmul,1792,1,32,9.6119
matmul,1792,4,16,10.007
matmul,1792,4,32,9.60102
matmul,1792,8,16,10.0147
matmul,1792,8,32,9.60512
matmul,1792,16,16,10.0228
matmul,1792,16,32,9.61581
matmul,2048,1,16,14.846
matmul,2048,1,32,14.3872
matmul,2048,4,16,14.8505
matmul,2048,4,32,14.3893
matmul,2048,8,16,14.8556
matmul,2048,8,32,14.3865
matmul,2048,16,16,14.8624
matmul,2048,16,32,14.4159
