task,n,streams,block,time_ms
reduction,100000,1,128,0.033664
reduction,100000,1,256,0.036576
reduction,100000,1,512,0.03072
reduction,100000,2,128,0.051584
reduction,100000,2,256,0.041088
reduction,100000,2,512,0.044384
reduction,100000,4,128,0.0568
reduction,100000,4,256,0.05936
reduction,100000,4,512,0.057472
reduction,100000,8,128,0.0928
reduction,100000,8,256,0.094688
reduction,100000,8,512,0.08144
reduction,100000,16,128,0.155552
reduction,100000,16,256,0.149728
reduction,100000,16,512,0.144096
reduction,100000,32,128,0.265056
reduction,100000,32,256,0.26016
reduction,100000,32,512,0.255584
reduction,143845,1,128,0.038912
reduction,143845,1,256,0.036096
reduction,143845,1,512,0.037344
reduction,143845,2,128,0.051808
reduction,143845,2,256,0.047104
reduction,143845,2,512,0.038624
reduction,143845,4,128,0.060736
reduction,143845,4,256,0.052448
reduction,143845,4,512,0.063488
reduction,143845,8,128,0.088608
reduction,143845,8,256,0.094208
reduction,143845,8,512,0.087712
reduction,143845,16,128,0.1616
reduction,143845,16,256,0.149376
reduction,143845,16,512,0.15472
reduction,143845,32,128,0.2624
reduction,143845,32,256,0.26848
reduction,143845,32,512,0.272736
reduction,206914,1,128,0.03024
reduction,206914,1,256,0.0264
reduction,206914,1,512,0.031392
reduction,206914,2,128,0.044736
reduction,206914,2,256,0.054272
reduction,206914,2,512,0.043008
reduction,206914,4,128,0.0512
reduction,206914,4,256,0.052416
reduction,206914,4,512,0.056608
reduction,206914,8,128,0.08208
reduction,206914,8,256,0.090112
reduction,206914,8,512,0.089856
reduction,206914,16,128,0.143072
reduction,206914,16,256,0.1536
reduction,206914,16,512,0.155264
reduction,206914,32,128,0.25984
reduction,206914,32,256,0.267616
reduction,206914,32,512,0.266304
reduction,297635,1,128,0.03744
reduction,297635,1,256,0.036864
reduction,297635,1,512,0.035136
reduction,297635,2,128,0.049152
reduction,297635,2,256,0.050592
reduction,297635,2,512,0.047104
reduction,297635,4,128,0.066944
reduction,297635,4,256,0.05808
reduction,297635,4,512,0.062304
reduction,297635,8,128,0.091488
reduction,297635,8,256,0.088096
reduction,297635,8,512,0.08656
reduction,297635,16,128,0.151552
reduction,297635,16,256,0.14704
reduction,297635,16,512,0.1608
reduction,297635,32,128,0.258048
reduction,297635,32,256,0.268288
reduction,297635,32,512,0.260096
reduction,428133,1,128,0.032128
reduction,428133,1,256,0.033536
reduction,428133,1,512,0.036064
reduction,428133,2,128,0.053216
reduction,428133,2,256,0.048704
reduction,428133,2,512,0.04368
reduction,428133,4,128,0.067712
reduction,428133,4,256,0.060736
reduction,428133,4,512,0.053504
reduction,428133,8,128,0.090528
reduction,428133,8,256,0.087808
reduction,428133,8,512,0.09216
reduction,428133,16,128,0.145408
reduction,428133,16,256,0.149888
reduction,428133,16,512,0.15312
reduction,428133,32,128,0.266016
reduction,428133,32,256,0.265728
reduction,428133,32,512,0.264992
reduction,615848,1,128,0.034816
reduction,615848,1,256,0.03472
reduction,615848,1,512,0.032704
reduction,615848,2,128,0.049824
reduction,615848,2,256,0.051392
reduction,615848,2,512,0.053184
reduction,615848,4,128,0.077888
reduction,615848,4,256,0.059328
reduction,615848,4,512,0.061728
reduction,615848,8,128,0.10624
reduction,615848,8,256,0.08736
reduction,615848,8,512,0.094208
reduction,615848,16,128,0.147296
reduction,615848,16,256,0.143872
reduction,615848,16,512,0.149824
reduction,615848,32,128,0.252832
reduction,615848,32,256,0.259488
reduction,615848,32,512,0.274432
reduction,885867,1,128,0.032576
reduction,885867,1,256,0.038368
reduction,885867,1,512,0.032768
reduction,885867,2,128,0.0512
reduction,885867,2,256,0.059392
reduction,885867,2,512,0.047648
reduction,885867,4,128,0.063744
reduction,885867,4,256,0.0688
reduction,885867,4,512,0.060736
reduction,885867,8,128,0.120704
reduction,885867,8,256,0.096
reduction,885867,8,512,0.096256
reduction,885867,16,128,0.155552
reduction,885867,16,256,0.153792
reduction,885867,16,512,0.15424
reduction,885867,32,128,0.266144
reduction,885867,32,256,0.272544
reduction,885867,32,512,0.264288
