task,n,streams,block,time_ms
tpm,1000,1,256,0.050016
tpm,1000,2,256,0.04352
tpm,1000,4,256,0.05152
tpm,1000,8,256,0.049152
tpm,1000,16,256,0.049568
tpm,1000,32,256,0.043808
tpm,2500,1,256,0.049024
tpm,2500,2,256,0.047328
tpm,2500,4,256,0.048992
tpm,2500,8,256,0.056384
tpm,2500,16,256,0.048928
tpm,2500,32,256,0.056224
tpm,4000,1,256,0.055296
tpm,4000,2,256,0.056064
tpm,4000,4,256,0.055296
tpm,4000,8,256,0.054048
tpm,4000,16,256,0.05568
tpm,4000,32,256,0.055296
tpm,5000,1,256,0.059968
tpm,5000,2,256,0.05824
tpm,5000,4,256,0.053152
tpm,5000,8,256,0.0584
tpm,5000,16,256,0.058912
tpm,5000,32,256,0.05376
tpm,7500,1,256,0.053376
tpm,7500,2,256,0.058176
tpm,7500,4,256,0.051936
tpm,7500,8,256,0.057888
tpm,7500,16,256,0.0512
tpm,7500,32,256,0.051616
tpm,8000,1,256,0.060384
tpm,8000,2,256,0.060544
tpm,8000,4,256,0.05312
tpm,8000,8,256,0.052992
tpm,8000,16,256,0.053248
tpm,8000,32,256,0.05728
tpm,10000,1,256,0.057216
tpm,10000,2,256,0.06144
tpm,10000,4,256,0.061504
tpm,10000,8,256,0.05504
tpm,10000,16,256,0.055296
tpm,10000,32,256,0.063328
tpm,25000,1,256,0.073792
tpm,25000,2,256,0.071872
tpm,25000,4,256,0.073984
tpm,25000,8,256,0.066688
tpm,25000,16,256,0.066912
tpm,25000,32,256,0.06464
tpm,40000,1,256,0.078336
tpm,40000,2,256,0.075072
tpm,40000,4,256,0.083616
tpm,40000,8,256,0.077696
tpm,40000,16,256,0.083712
tpm,40000,32,256,0.078336
tpm,50000,1,256,0.080864
tpm,50000,2,256,0.080256
tpm,50000,4,256,0.082944
tpm,50000,8,256,0.087008
tpm,50000,16,256,0.079552
tpm,50000,32,256,0.080544
